data de compra,# pedido,# item pedido,produto,modelo,valor produto,tipo de pagamento,entregue,vendedor,valor total do pedido,compra sócio,nome,cpf,valor total da compra
2025-06-27 16:24:44,CS624146,I1179087,Camisa,PP,108.0,Dinheiro,Sim,Laura Tobita Norimbeni,108.0,Sim,Bárbara Barros,591.734.682-82,Sim
2025-06-27 17:50:58,CS624159,I1179106,Camisa,PP,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,Danilo da Rosa,197.543.268-19,Não
2025-06-30 15:37:50,CS624408,I1179488,Camisa,PP,108.0,Pix,Sim,Compra Online,171.0,Sim,Isis Castro,954.370.682-47,Sim
2025-07-20 14:56:15,CS627686,I1185035,Camisa,PP,108.0,Pix,Sim,Compra Online,108.0,Sim,Lara Farias,284.750.619-58,Sim
2025-07-23 18:12:12,CS628112,I1185773,Camisa,PP,108.0,Cartão de Crédito,Sim,Compra Online,360.0,Sim,Guilherme Duarte,081.925.467-30,Sim
2025-07-23 23:01:09,CS628185,I1185894,Camisa,PP,108.0,Cartão de Crédito,Sim,Compra Online,171.0,Sim,Fernanda Ferreira,127.936.854-37,Sim
2025-06-23 13:25:39,CS623754,I1178518,Camisa,P,180.0,Pix,Sim,Compra Online,185.0,Não,João Vitor Martins,247.310.658-44,Não
2025-06-30 20:09:03,CS624433,I1179534,Camisa,P,108.0,Cartão de Crédito,Não,Compra Online,108.0,Sim,Theo Ferreira,348.091.752-60,Sim
2025-07-16 19:58:06,CS627217,I1184374,Camisa,P,108.0,Cartão de Crédito,Sim,Compra Online,297.0,Sim,Carolina Pereira,740.231.568-17,Sim
2025-07-23 16:04:37,CS628079,I1185723,Camisa,P,108.0,Cartão de Crédito,Sim,Compra Online,171.0,Sim,Pedro Henrique Teixeira,843.260.951-05,Sim
2025-07-23 16:40:48,CS628091,I1185745,Camisa,P,108.0,Dinheiro,Sim,Laura Tobita Norimbeni,229.5,Sim,Sra. Laura Fogaça,976.815.403-93,Sim
2025-07-23 21:00:55,CS628166,I1185859,Camisa,P,108.0,Dinheiro,Sim,Laura Tobita Norimbeni,229.5,Sim,Ana Sophia Souza,260.571.489-67,Sim
2025-07-23 22:03:05,CS628177,I1185873,Camisa,P,108.0,Dinheiro,Sim,Giovana Gomes Costa,108.0,Sim,Raquel Silveira,276.058.149-76,Sim
2025-06-23 15:27:25,CS623773,I1178545,Camisa,M,180.0,Dinheiro,Sim,Gabriely Fernanda Garbim,120.0,Não,Joana Silveira,284.395.617-09,Não
2025-06-23 15:43:32,CS623775,I1178547,Camisa,M,108.0,Dinheiro,Sim,Laura Tobita Norimbeni,360.0,Sim,Felipe Correia,861.275.304-07,Sim
2025-06-23 15:48:14,CS623777,I1178552,Camisa,M,180.0,Dinheiro,Sim,Gabriely Fernanda Garbim,330.0,Não,Lívia da Conceição,750.294.631-43,Não
2025-06-23 22:15:37,CS623829,I1178622,Camisa,M,108.0,Dinheiro,Não,Laura Tobita Norimbeni,216.0,Sim,Eduardo Cardoso,984.156.307-00,Sim
2025-06-23 22:15:37,CS623829,I1178623,Camisa,M,108.0,Dinheiro,Sim,Laura Tobita Norimbeni,216.0,Sim,Alexandre Cavalcanti,751.489.620-11,Sim
2025-06-27 12:57:59,CS624127,I1179064,Camisa,M,180.0,Pix,Não,Compra Online,120.0,Não,Otávio Silva,753.862.049-47,Não
2025-07-01 02:36:31,CS624475,I1179604,Camisa,M,108.0,Pix,Sim,Compra Online,108.0,Sim,Gabrielly Caldeira,352.809.416-89,Sim
2025-07-03 13:53:54,CS624797,I1180073,Camisa,M,180.0,Pix,Sim,Compra Online,330.0,Não,Juliana Souza,579.280.361-77,Não
2025-07-06 14:10:00,CS625216,I1181039,Camisa,M,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,Lorenzo Martins,596.814.370-39,Não
2025-07-10 14:15:14,CS625950,I1182411,Camisa,M,108.0,Dinheiro,Sim,Giovana Gomes Costa,108.0,Sim,Lorenzo Ferreira,027.186.439-78,Sim
2025-07-13 22:16:31,CS626522,I1183325,Camisa,M,180.0,Pix,Sim,Compra Online,330.0,Não,Dr. Erick Martins,364.819.275-28,Não
2025-07-14 10:13:50,CS626554,I1183377,Camisa,M,108.0,Cartão de Crédito,Sim,Compra Online,108.0,Sim,Gabriela Carvalho,138.574.269-00,Sim
2025-07-21 00:03:18,CS627736,I1185112,Camisa,M,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,João Vitor da Luz,389.564.120-06,Não
2025-07-22 09:40:57,CS627884,I1185366,Camisa,M,180.0,Pix,Sim,Compra Online,120.0,Não,Maria Luiza Moreira,187.429.365-19,Não
2025-07-22 14:56:53,CS627921,I1185430,Camisa,M,108.0,Dinheiro,Sim,Laura Tobita Norimbeni,216.0,Sim,Levi Cunha,186.729.453-28,Sim
2025-07-22 15:29:58,CS627928,I1185446,Camisa,M,108.0,Cartão de Crédito,Sim,Compra Online,171.0,Sim,Gustavo Henrique Jesus,413.629.870-69,Sim
2025-07-22 16:55:51,CS627942,I1185475,Camisa,M,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,Nathan Gonçalves,795.482.603-10,Não
2025-07-23 17:28:31,CS628101,I1185758,Camisa,M,108.0,Dinheiro,Sim,Laura Tobita Norimbeni,108.0,Sim,Alícia Moreira,032.589.716-68,Sim
2025-07-23 18:49:54,CS628127,I1185796,Camisa,M,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,João Miguel Silveira,601.983.245-70,Não
2025-07-23 18:51:47,CS628129,I1185799,Camisa,M,108.0,Dinheiro,Sim,Laura Tobita Norimbeni,297.0,Sim,João Vitor Carvalho,892.174.603-03,Sim
2025-07-23 20:18:48,CS628156,I1185841,Camisa,M,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,Dra. Daniela Barros,362.095.418-60,Não
2025-07-23 23:11:19,CS628189,I1185899,Camisa,M,180.0,Cartão de Crédito,Não,Compra Online,120.0,Não,Renan Fogaça,654.908.137-84,Não
2025-07-23 23:20:52,CS628192,I1185907,Camisa,M,180.0,Cartão de Crédito,Não,Compra Online,120.0,Não,Benício Rocha,578.431.902-79,Não
2025-06-24 21:02:01,CS623921,I1178748,Camisa,G,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,João Farias,158.264.097-11,Não
2025-07-04 22:56:53,CS625067,I1180661,Camisa,G,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,Dr. João Miguel Gomes,760.312.589-86,Não
2025-07-05 12:30:04,CS625112,I1180842,Camisa,G,180.0,Pix,Sim,Compra Online,120.0,Não,Bruno Rezende,416.593.270-16,Não
2025-07-06 10:41:40,CS625188,I1181001,Camisa,G,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,Sr. Diego Nogueira,617.385.294-28,Não
2025-07-07 20:41:00,CS625457,I1181507,Camisa,G,108.0,Dinheiro,Sim,Laura Tobita Norimbeni,108.0,Sim,Dr. Heitor Rodrigues,279.184.053-23,Sim
2025-07-11 08:16:54,CS626095,I1182642,Camisa,G,108.0,Dinheiro,Sim,Laura Tobita Norimbeni,108.0,Sim,Gustavo Henrique Vieira,185.769.342-64,Sim
2025-07-12 09:42:58,CS626284,I1182942,Camisa,G,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,Sr. Cauã Cunha,015.264.937-99,Não
2025-07-18 17:01:37,CS627463,I1184727,Camisa,G,180.0,Cartão de Crédito,Não,Compra Online,330.0,Não,Srta. Sofia da Luz,305.186.479-00,Não
2025-07-23 18:15:51,CS628114,I1185777,Camisa,G,180.0,Pix,Não,Compra Online,120.0,Não,Cauê Cardoso,873.620.951-12,Não
2025-06-25 15:56:29,CS624008,I1178889,Camisa,GG,108.0,Cartão de Crédito,Sim,Compra Online,108.0,Sim,Pietro Rezende,615.827.439-91,Sim
2025-07-04 16:00:53,CS624991,I1180557,Camisa,GG,180.0,Cartão de Crédito,Não,Compra Online,120.0,Não,Sr. Enzo Silveira,236.578.914-55,Não
2025-07-10 21:12:29,CS626051,I1182568,Camisa,GG,108.0,Dinheiro,Sim,Giovana Gomes Costa,297.0,Sim,Maria Alice Carvalho,206.849.513-98,Sim
2025-07-12 16:07:12,CS626324,I1183023,Camisa,GG,180.0,Cartão de Crédito,Sim,Compra Online,190.0,Não,Vicente das Neves,614.802.795-01,Não
2025-07-15 00:17:59,CS626751,I1183672,Camisa,GG,180.0,Cartão de Crédito,Não,Compra Online,120.0,Não,Sr. Isaac da Luz,516.283.947-73,Não
2025-07-21 17:44:59,CS627820,I1185254,Camisa,GG,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,Levi Silva,216.348.790-31,Não
2025-07-22 14:56:53,CS627921,I1185431,Camisa,GG,108.0,Dinheiro,Sim,Laura Tobita Norimbeni,216.0,Sim,Kamilly Souza,428.315.697-37,Sim
2025-07-23 11:20:32,CS628027,I1185641,Camisa,GG,108.0,Cartão de Crédito,Sim,Compra Online,108.0,Sim,Sra. Sophie Correia,450.981.723-14,Sim
2025-07-23 17:14:26,CS628098,I1185755,Camisa,GG,180.0,Cartão de Crédito,Sim,Compra Online,120.0,Não,Henrique Dias,153.987.462-19,Não
2025-07-24 11:09:00,CS628215,I1185938,Camisa,GG,108.0,Dinheiro,Sim,Giovana Gomes Costa,108.0,Sim,Pedro Costela,302.417.896-13,Sim
2025-06-23 13:28:07,CS623755,I1178520,Camisa,EXG,108.0,Pix,Não,Compra Online,297.0,Sim,Enzo Santos,286.457.193-55,Sim
2025-07-07 16:27:54,CS625410,I1181432,Camisa,EXG,180.0,Pix,Sim,Compra Online,120.0,Não,Luiza Melo,451.387.029-04,Não
2025-07-22 19:24:56,CS627969,I1185523,Camisa,EXG,108.0,Cartão de Crédito,Sim,Compra Online,108.0,Sim,Juan Caldeira,348.759.201-05,Sim
2025-06-23 21:30:19,CS623818,I1178604,Moletom,PP,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Srta. Sophie Rezende,245.817.039-05,Não
2025-06-28 14:12:04,CS624205,I1179176,Moletom,PP,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Noah Campos,742.639.580-47,Não
2025-06-28 14:23:03,CS624212,I1179185,Moletom,PP,189.0,Cartão de Crédito,Sim,Compra Online,189.0,Sim,Rodrigo Fogaça,463.952.107-34,Sim
2025-07-02 18:07:22,CS624663,I1179888,Moletom,PP,250.0,Pix,Sim,Compra Online,210.0,Não,Isabelly Santos,179.284.350-04,Não
2025-07-21 10:20:29,CS627754,I1185151,Moletom,PP,189.0,Cartão de Crédito,Sim,Compra Online,310.5,Sim,Enrico Dias,784.291.603-96,Sim
2025-07-22 20:13:46,CS627979,I1185551,Moletom,PP,189.0,Cartão de Crédito,Não,Compra Online,252.0,Sim,Eloah Moraes,482.769.103-78,Sim
2025-07-23 17:40:42,CS628103,I1185760,Moletom,PP,250.0,Cartão de Crédito,Sim,Compra Online,345.0,Não,Sr. Vicente Castro,625.870.193-03,Não
2025-06-23 15:47:44,CS623776,I1178550,Moletom,P,189.0,Dinheiro,Sim,Laura Tobita Norimbeni,189.0,Sim,Francisco Duarte,746.123.589-37,Sim
2025-06-27 11:25:11,CS624120,I1179051,Moletom,P,189.0,Pix,Sim,Compra Online,247.5,Sim,Yuri da Mota,350.691.742-07,Sim
2025-07-01 01:02:20,CS624474,I1179603,Moletom,P,250.0,Pix,Sim,Compra Online,350.0,Não,Clara Gonçalves,918.753.042-23,Não
2025-07-06 14:22:02,CS625220,I1181043,Moletom,P,250.0,Cartão de Crédito,Sim,Compra Online,275.0,Não,Murilo da Mata,429.635.807-38,Não
2025-07-16 19:58:06,CS627217,I1184373,Moletom,P,189.0,Cartão de Crédito,Sim,Compra Online,297.0,Sim,Valentina Araújo,421.750.386-53,Sim
2025-06-23 14:53:22,CS623770,I1178541,Moletom,M,189.0,Cartão de Crédito,Sim,Compra Online,189.0,Sim,Clarice Barbosa,586.204.913-42,Sim
2025-06-23 16:58:32,CS623786,I1178562,Moletom,M,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Enzo Gabriel Fernandes,593.281.674-00,Não
2025-06-23 20:35:56,CS623811,I1178594,Moletom,M,189.0,Dinheiro,Sim,Laura Tobita Norimbeni,247.5,Sim,Felipe Correia,790.621.583-40,Sim
2025-06-23 21:35:22,CS623823,I1178611,Moletom,M,189.0,Cartão de Crédito,Sim,Compra Online,247.5,Sim,Luiz Felipe Cardoso,278.504.319-79,Sim
2025-06-23 21:39:22,CS623824,I1178613,Moletom,M,189.0,Dinheiro,Sim,Laura Tobita Norimbeni,189.0,Sim,Heitor Teixeira,543.690.127-16,Sim
2025-06-26 15:50:05,CS624076,I1178985,Moletom,M,250.0,Cartão de Crédito,Não,Compra Online,210.0,Não,Sr. Luigi Viana,927.461.083-13,Não
2025-06-28 22:05:00,CS624256,I1179258,Moletom,M,189.0,Dinheiro,Sim,Laura Tobita Norimbeni,310.5,Sim,Paulo da Costa,428.360.159-42,Sim
2025-07-03 13:53:54,CS624797,I1180072,Moletom,M,250.0,Pix,Sim,Compra Online,330.0,Não,Lorena Correia,940.368.152-70,Não
2025-07-07 22:20:03,CS625481,I1181539,Moletom,M,189.0,Cartão de Crédito,Sim,Compra Online,247.5,Sim,Laura Duarte,876.241.053-90,Sim
2025-07-07 22:54:57,CS625490,I1181550,Moletom,M,189.0,Dinheiro,Sim,Laura Tobita Norimbeni,189.0,Sim,Vitor Gabriel Gonçalves,196.304.725-70,Sim
2025-07-10 18:55:35,CS626017,I1182516,Moletom,M,250.0,Cartão de Crédito,Não,Compra Online,210.0,Não,Lorenzo da Costa,071.248.963-04,Não
2025-07-13 16:14:58,CS626444,I1183208,Moletom,M,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Leandro Porto,923.457.816-37,Não
2025-07-13 20:34:16,CS626500,I1183284,Moletom,M,250.0,Cartão de Crédito,Sim,Compra Online,345.0,Não,Maria Eduarda Gomes,306.248.195-15,Não
2025-07-13 22:16:31,CS626522,I1183326,Moletom,M,250.0,Pix,Sim,Compra Online,330.0,Não,Maria Cecília Pires,094.138.275-32,Não
2025-07-14 16:55:45,CS626618,I1183462,Moletom,M,250.0,Cartão de Crédito,Não,Compra Online,275.0,Não,Sra. Vitória Correia,852.134.906-89,Não
2025-07-15 17:11:42,CS626858,I1183820,Moletom,M,250.0,Cartão de Crédito,Sim,Compra Online,275.0,Não,Isabel Rocha,703.954.218-88,Não
2025-07-15 18:56:24,CS626897,I1183887,Moletom,M,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Cecília Ramos,086.915.742-67,Não
2025-07-16 15:40:49,CS627156,I1184271,Moletom,M,189.0,Pix,Não,Compra Online,252.0,Sim,Mariana das Neves,271.053.896-21,Sim
2025-07-18 10:30:45,CS627418,I1184652,Moletom,M,250.0,Cartão de Crédito,Não,Compra Online,210.0,Não,Agatha Moura,082.157.469-85,Não
2025-07-21 09:52:31,CS627747,I1185130,Moletom,M,250.0,Pix,Sim,Compra Online,210.0,Não,Cauã Ramos,486.573.201-26,Não
2025-07-21 13:05:54,CS627785,I1185205,Moletom,M,250.0,Pix,Não,Compra Online,210.0,Não,Pedro Henrique Souza,370.528.691-95,Não
2025-07-22 14:45:02,CS627919,I1185427,Moletom,M,250.0,Cartão de Crédito,Não,Compra Online,280.0,Não,Yuri Cunha,619.023.475-52,Não
2025-07-22 18:48:16,CS627956,I1185501,Moletom,M,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Fernanda Alves,325.160.749-99,Não
2025-07-23 15:31:59,CS628072,I1185706,Moletom,M,189.0,Dinheiro,Sim,Laura Tobita Norimbeni,189.0,Sim,Emanuelly Teixeira,059.623.784-74,Sim
2025-07-23 16:19:00,CS628083,I1185732,Moletom,M,250.0,Pix,Sim,Compra Online,210.0,Não,Vitor Gabriel Carvalho,162.379.840-03,Não
2025-07-23 18:10:09,CS628110,I1185771,Moletom,M,250.0,Cartão de Crédito,Não,Compra Online,280.0,Não,Maria Clara Cardoso,230.147.965-06,Não
2025-07-23 18:12:12,CS628112,I1185774,Moletom,M,189.0,Cartão de Crédito,Sim,Compra Online,360.0,Sim,Sra. Alexia Vieira,614.730.529-80,Sim
2025-07-23 18:27:28,CS628117,I1185782,Moletom,M,189.0,Pix,Sim,Compra Online,189.0,Sim,Kaique Gomes,176.594.203-99,Sim
2025-07-23 22:48:49,CS628182,I1185885,Moletom,M,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Vitor Porto,759.102.846-49,Não
2025-07-23 23:42:47,CS628197,I1185915,Moletom,M,189.0,Pix,Sim,Compra Online,189.0,Sim,Davi Silva,065.981.237-12,Sim
2025-06-23 13:31:19,CS623756,I1178522,Moletom,G,250.0,Cartão de Crédito,Sim,Compra Online,345.0,Não,Manuela Castro,547.018.692-01,Não
2025-06-23 14:29:39,CS623765,I1178535,Moletom,G,250.0,Cartão de Crédito,Não,Compra Online,210.0,Não,Dr. João Pedro Rodrigues,570.139.248-14,Não
2025-06-23 14:37:10,CS623766,I1178536,Moletom,G,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Alexandre Fernandes,451.809.276-76,Não
2025-06-23 15:43:32,CS623775,I1178548,Moletom,G,189.0,Dinheiro,Sim,Laura Tobita Norimbeni,360.0,Sim,Benjamin Freitas,637.250.194-52,Sim
2025-06-24 01:26:35,CS623842,I1178643,Moletom,G,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Marcos Vinicius da Mata,103.284.765-44,Não
2025-06-24 09:37:13,CS623848,I1178650,Moletom,G,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Alana Moura,594.086.732-47,Não
2025-06-24 11:21:14,CS623860,I1178664,Moletom,G,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,João Gabriel Cardoso,593.876.420-38,Não
2025-06-30 21:55:54,CS624458,I1179577,Moletom,G,250.0,Dinheiro,Sim,Luiz Felipe Ferreira De França ,210.0,Não,Luana Jesus,859.602.341-06,Não
2025-07-02 17:28:20,CS624657,I1179880,Moletom,G,189.0,Dinheiro,Sim,Laura Tobita Norimbeni,189.0,Sim,Rodrigo Monteiro,098.321.465-42,Sim
2025-07-02 18:44:53,CS624671,I1179897,Moletom,G,189.0,Cartão de Crédito,Sim,Compra Online,310.5,Sim,Helena Santos,725.014.936-99,Sim
2025-07-08 08:23:21,CS625512,I1181578,Moletom,G,250.0,Dinheiro,Sim,Gabriely Fernanda Garbim,210.0,Não,Henrique da Costa,479.183.652-91,Não
2025-07-08 08:25:05,CS625513,I1181579,Moletom,G,250.0,Dinheiro,Sim,Gabriely Fernanda Garbim,210.0,Não,Pietro Peixoto,195.432.870-23,Não
2025-07-08 18:17:37,CS625659,I1181830,Moletom,G,250.0,Dinheiro,Sim,Luiz Felipe Ferreira De França ,210.0,Não,Kamilly Monteiro,567.940.823-65,Não
2025-07-12 18:09:06,CS626342,I1183052,Moletom,G,250.0,Dinheiro,Sim,Gabriely Fernanda Garbim,280.0,Não,Nathan Lima,845.136.972-37,Não
2025-07-18 17:01:37,CS627463,I1184728,Moletom,G,250.0,Cartão de Crédito,Não,Compra Online,330.0,Não,Enzo Gabriel da Conceição,429.703.685-10,Não
2025-07-20 17:17:02,CS627692,I1185045,Moletom,G,189.0,Pix,Sim,Compra Online,189.0,Sim,Enzo Moraes,467.381.052-07,Sim
2025-07-22 18:30:23,CS627953,I1185496,Moletom,G,189.0,Pix,Não,Compra Online,310.5,Sim,Noah da Rosa,067.428.135-71,Sim
2025-07-23 18:51:47,CS628129,I1185800,Moletom,G,189.0,Dinheiro,Sim,Laura Tobita Norimbeni,297.0,Sim,Kamilly Freitas,639.170.584-48,Sim
2025-06-23 15:48:14,CS623777,I1178551,Moletom,GG,250.0,Dinheiro,Sim,Gabriely Fernanda Garbim,330.0,Não,Dra. Clara Nascimento,527.089.146-85,Não
2025-06-23 16:45:09,CS623782,I1178558,Moletom,GG,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Julia Azevedo,345.189.670-20,Não
